timestamp,exhaust_flow_kg_s,nox_mg_s,pn_1_s,veh_speed_m_s
2024-01-01T08:07:03Z,0.3912,54.95,114438,3.521
2024-01-01T08:07:04Z,0.3470,64.20,108168,2.444
2024-01-01T08:07:05Z,0.3154,46.81,100418,1.457
2024-01-01T08:07:06Z,0.2962,53.99,106248,0.000
2024-01-01T08:07:07Z,0.3135,54.61,116843,0.000
2024-01-01T08:07:08Z,0.3126,57.63,103985,0.000
2024-01-01T08:07:09Z,0.3029,44.20,99828,0.000
2024-01-01T08:07:10Z,0.2918,46.39,120965,0.000
2024-01-01T08:07:11Z,0.3145,45.71,133248,0.351
2024-01-01T08:07:12Z,0.2982,56.14,100829,0.351
2024-01-01T08:07:13Z,0.3180,50.58,108588,0.351
2024-01-01T08:07:14Z,0.3024,53.61,102583,0.351
2024-01-01T08:07:15Z,0.3053,59.23,123249,0.679
2024-01-01T08:07:16Z,0.3116,47.61,110942,0.327
2024-01-01T08:07:17Z,0.2898,55.78,110278,0.327
2024-01-01T08:07:18Z,0.2983,37.59,93800,0.327
2024-01-01T08:07:19Z,0.3085,54.85,90183,0.327
2024-01-01T08:07:20Z,0.3071,50.83,97525,0.000
2024-01-01T08:07:21Z,0.2998,52.07,111565,0.000
2024-01-01T08:07:22Z,0.2836,55.41,113834,0.076
2024-01-01T08:07:23Z,0.3218,59.70,178428,0.948
2024-01-01T08:07:24Z,0.3380,60.16,237898,2.154
2024-01-01T08:07:25Z,0.3534,51.53,184263,2.904
2024-01-01T08:07:26Z,0.3958,65.18,275609,4.548
2024-01-01T08:07:27Z,0.4102,65.52,189427,5.264
